filename,missing_objects
routes_kids_0902_01_evac_missing_early.csv,3
routes_kids_0902_02_evac_missing_early.csv,7
routes_kids_0902_03_evac_missing_early.csv,55
routes_kids_0902_04_evac_missing_early.csv,55
routes_kids_0902_05_evac_missing_early.csv,243
routes_kids_0902_06_evac_missing_early.csv,493
routes_kids_0902_07_evac_missing_early.csv,541
routes_kids_0902_08_evac_missing_early.csv,506
routes_kids_0902_09_evac_missing_early.csv,685
routes_kids_0902_10_evac_missing_early.csv,684
routes_kids_0902_11_evac_missing_early.csv,670
routes_kids_0902_12_evac_missing_early.csv,668
routes_kids_0902_13_evac_missing_early.csv,671
routes_kids_0902_14_evac_missing_early.csv,685
routes_kids_0902_15_evac_missing_early.csv,668
routes_kids_0902_16_evac_missing_early.csv,669
routes_kids_0902_17_evac_missing_early.csv,685
routes_kids_0902_18_evac_missing_early.csv,675
routes_kids_0902_19_evac_missing_early.csv,705
routes_kids_0902_20_evac_missing_early.csv,710
routes_kids_0902_21_evac_missing_early.csv,762
routes_kids_0902_22_evac_missing_early.csv,770
routes_kids_0902_23_evac_missing_early.csv,752
routes_kids_0903_00_evac_missing_early.csv,743
routes_kids_0903_01_evac_missing_early.csv,709
routes_kids_0903_02_evac_missing_early.csv,719
